member_casual,total_rides,percent_of_all_rides,average_ride_minutes,median_ride_minutes,weekend_rides,percent_weekend_rides
casual,1915769,35.48,19.9,11.88,712548,37.19
member,3484186,64.52,12.17,8.73,814411,23.37
